"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","RPM","InlineAcc","LateralAcc","VerticalAcc","RollRate dup 1","PitchRate","YawRate dup 1","ProcessedThrottl","RawThrottle1","RawThrottle2","RawBrake","FRDamperPot","RRBrakeTemp","RRDamperPot","FLSpeed","RLSpeed","PitotTube","FWStrainGageLeft","FLBrakeTemp","FLDamperPot","RLBrakeTemp","RLDamperPot","LvBatt1Voltage","LvBatt2Voltage","RC STATE","RC ERROR","ACM STATE","ACM ERROR","CockpitIndicator","FC STATE","FC ERROR","PEDAL ERROR","ModuleATemp","GateDriverTemp","ModuleBTemp","ModuleCTemp","ControlTemp","RTD1Temp","RTD2Temp","RTD3Temp","CoolantTemp","HotSpotTemp","MotorTemp","TorqueShudder","MotorAngle","MotorSpeed1","ElectricFreq","DeltaRes","PhaseA Current","PhaseB Current","PhaseC Current","DcBusCurrent","DcBusVoltageInfo","OutputVoltage","VabVdVoltage","VbcVqVoltage","FluxCommanded","FluxFeedback","IdFeedback","IqFeedback","TorqueCommanded","TorqueFeedback","MotorSpeed2","DcBusVoltage","DischargeLimitFault","HighestCellVoltTooHighFault","ChargerSafetyRelayFault","InternalHardwareFault","LowCellVoltageFault","InternalHeatsinkFault","InternalSoftwareFault","PackTooHotFault","LowestCellVoltTooLowFault","InternalCommsFault","CellBalancingStuckOffFault","WeakCellFault","OpenWiringFault","CurrentSensorFault","HighestCellVoltOver5vFault","CellAsicFault","WeakPackFault","FanMonitorFault","ThermistorFault","ExternalCommsFault","RedundantPowerSupplyFault","ChargeLimitFault","HighVoltageIsolationFault","InputPowerSupplyFault","YawRate dup 2","AccY","RollRate dup 2","RESERVED 01","AccX","RESERVED 02","AccZ","PackCurrent","PackVoltage","PackSOC","CurrentLimitStatus","PackDCL","PackCCL","HighCellVoltage","HighCellID","LowCellVoltage","LowCellID","AvgCellVoltage","MaxCellVoltage","PackCCL 01","MaxPackVoltage","PackCCL 02","MaxCellVoltag 01","PackCCL 03","RelativeThermID","ThermVal","ThermsEnabled","LoThermVal","HiThermVal","LoThermID","HiThermID"
"s","km/h"," ","g","g","deg","deg","deg/s","m","m","m/s","m","deg","deg","°C","V","rpm","g","g","g","deg/s","deg/s","deg/s","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"

"106.050","16.9160","14","0.0041","-0.0003","0.1280","19.2158","0.4847","124.2804","0.0073","0.1300","555.4862","43.36400213","-71.46109815","22.6","12.0","0","0.16","0.03","-1.15","-0.1","0.6","1.0","0","0","0","0","0","0","0","0","0","0","0","7","22","24","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","271","-810","-135","-97","2","12","-12","2","510","62","-5","-62","0","29","-1","-15","11","-10","-821","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","-4","-30","12","-8","0","-7","2","503","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","2058","39","8","20","25","28","10"
"106.100","17.0425","14","0.0048","0.0043","0.1263","19.1691","0.5698","124.2983","0.0073","0.1300","475.9937","43.36400414","-71.46109731","22.6","12.0","0","0.16","0.04","-1.13","-0.9","1.2","0.4","0","0","0","0","0","0","0","0","0","0","0","7","22","25","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","289","-808","-135","-97","1","13","-11","2","510","62","-5","-62","0","29","-1","-15","10","-10","-819","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","-4","-210","8","-8","0","-7","2","503","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","2186","39","9","20","25","28","10"
"106.150","17.0475","14","0.0043","0.0039","0.0876","19.0038","0.5179","124.3100","0.0073","0.1300","523.8606","43.36400610","-71.46109647","22.6","12.0","0","0.15","0.05","-1.12","-0.5","1.3","0.2","0","0","0","0","0","0","0","0","0","0","0","7","22","28","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","332","-801","-133","-97","-1","14","-10","2","510","62","-5","-62","0","29","-1","-14","9","-9","-813","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","-4","-261","6","-8","0","-7","2","503","81","2","145","4","-3","-105","-3","65","-3","0","0","0","0","0","0","2314","39","9","20","25","28","10"
"106.200","17.0420","14","0.0038","0.0032","0.0456","18.8282","0.4541","124.3210","0.0072","0.1300","597.3112","43.36400805","-71.46109562","22.6","12.0","0","0.13","0.04","-1.14","0.5","1.0","0.7","0","0","0","0","0","0","0","0","0","0","0","6","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","277","-803","-134","-97","-4","11","-4","2","510","62","-4","-62","0","29","-3","-10","8","-8","-806","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","-4","-81","8","-8","0","-7","2","503","81","2","145","4","-3","-38","-3","65","-3","0","0","0","0","0","0","2442","39","10","20","25","28","10"
"106.250","17.0055","14","0.0034","-0.0039","0.1202","19.1550","0.4067","124.3395","0.0072","0.1300","665.5136","43.36400999","-71.46109475","22.6","12.0","0","0.14","0.00","-1.15","0.4","0.6","0.8","0","0","0","0","0","0","0","0","0","0","0","4","22","29","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","138","-813","-136","-97","-7","8","4","2","510","62","-3","-62","0","29","-3","-9","4","-5","-805","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","-4","-102","6","-8","0","-7","2","504","81","2","145","4","-3","21","-3","65","-3","0","0","0","0","0","0","2570","39","10","20","25","28","10"
"106.300","16.9663","14","0.0030","-0.0116","0.2050","19.5255","0.3607","124.3586","0.0072","0.1300","748.6195","43.36401193","-71.46109387","22.6","12.0","0","0.14","0.05","-1.12","-0.2","0.9","-0.3","0","0","0","0","0","0","0","0","0","0","0","2","22","231","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","133","-800","-133","-96","-5","1","8","2","510","62","-4","-62","0","29","-1","-10","0","-2","-800","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-123","-4","-283","4","-8","0","-7","1","504","81","2","145","4","-3","-46","-3","65","-3","0","0","0","0","0","0","2698","39","11","20","25","28","10"
"106.350","16.9148","14","0.0022","-0.0190","0.1997","19.5190","0.2630","124.3767","0.0072","0.1300","1023.4152","43.36401388","-71.46109304","22.6","12.0","0","0.10","0.13","-1.05","-0.5","1.2","-0.4","0","0","0","0","0","0","0","0","0","0","0","4","22","764","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","241","-767","-128","-94","-3","-7","12","1","510","53","-2","-53","0","29","1","-5","0","-0","-769","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-21","-4","-326","7","-5","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","2826","39","11","20","25","28","10"
"106.400","16.8622","14","0.0014","-0.0265","0.1865","19.4796","0.1609","124.3946","0.0072","0.1300","1667.9067","43.36401583","-71.46109222","22.6","12.0","0","0.07","0.10","-1.06","-0.1","0.3","1.0","0","0","0","0","0","0","0","0","0","0","0","8","22","988","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","288","-753","-126","-94","-2","-5","7","1","511","42","2","-42","0","29","1","1","0","1","-759","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","-4","-325","12","-0","0","-8","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","2954","39","12","20","25","28","10"
"106.450","16.8108","14","-0.0014","-0.0344","0.1335","19.0977","-0.1735","124.3999","0.0072","0.1300","1542.0760","43.36401778","-71.46109136","22.7","12.0","0","0.11","-0.03","-1.14","-0.4","-0.1","1.2","0","0","0","0","0","0","0","0","0","0","0","512","22","989","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","288","-753","-126","-94","-1","-2","2","-0","511","44","-0","-44","0","29","0","0","0","-1","-790","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-15","-4","-326","6","-4","0","-7","-0","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","3082","39","12","20","25","28","10"
"106.500","16.7595","14","-0.0044","-0.0423","0.0771","18.6859","-0.5281","124.4041","0.0072","0.1300","505.0835","43.36401973","-71.46109050","22.7","12.0","0","0.11","-0.01","-1.12","-0.6","0.8","-0.1","0","0","0","0","0","0","0","0","0","0","0","1017","21","576","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","210","-777","-130","-94","-1","-1","1","-0","511","46","-2","-46","0","29","-1","-1","0","-1","-799","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-164","-4","-298","1","-8","0","-7","0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","3210","39","13","20","25","28","10"
"106.550","16.6206","14","-0.0048","-0.0494","0.1141","18.8686","-0.5836","124.4178","0.0072","0.1254","453.2834","43.36402159","-71.46108969","22.7","12.0","0","0.10","0.04","-1.11","0.2","0.6","-0.2","0","0","0","0","0","0","0","0","0","0","0","1016","21","47","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","108","-809","-135","-93","-1","-1","1","-0","511","45","-2","-45","0","29","-1","-0","0","-0","-789","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-117","6","-3","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","3348","39","13","20","25","28","10"
"106.600","16.4741","14","-0.0051","-0.0565","0.1591","19.1030","-0.6130","124.4324","0.0072","0.1204","427.6951","43.36402345","-71.46108889","22.7","12.0","0","0.11","0.05","-1.13","0.5","0.1","0.3","0","0","0","0","0","0","0","0","0","0","0","1016","22","35","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","220","-800","-133","-94","0","0","1","-0","511","48","-3","-48","0","29","-2","-2","3","-2","-784","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-94","-4","-2","9","-0","0","-7","0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","3604","39","14","20","25","28","10"
"106.650","16.4040","14","-0.0064","-0.0528","0.2037","19.1342","-0.7846","124.4501","0.0072","0.1154","332.7704","43.36402533","-71.46108808","22.7","12.0","0","0.12","0.07","-1.09","0.1","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1018","22","34","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","313","-791","-132","-94","2","1","1","0","510","57","-6","-56","0","29","-3","-9","7","-5","-782","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","-4","-2","8","-0","0","-7","0","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","3850","39","15","20","25","28","10"
"106.700","16.3404","14","-0.0079","-0.0483","0.2482","19.1478","-0.9684","124.4680","0.0072","0.1104","268.5452","43.36402722","-71.46108728","22.7","12.0","0","0.14","0.04","-1.08","-0.1","0.5","0.6","0","0","0","0","0","0","0","0","0","0","0","1020","22","35","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","251","-792","-132","-95","7","-1","-4","1","509","61","-8","-60","0","29","-3","-12","7","-7","-813","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","-4","-1","6","-2","0","-7","1","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","3978","39","16","20","25","28","10"
"106.750","16.2058","14","-0.0087","-0.0395","0.2003","19.1506","-1.0757","124.4723","0.0072","0.1100","239.7753","43.36402906","-71.46108651","22.7","12.0","0","0.17","0.02","-1.12","-0.4","0.3","-0.3","0","0","0","0","0","0","0","0","0","0","0","1022","22","36","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","215","-787","-131","-96","12","-3","-8","2","509","61","-8","-60","0","29","-3","-12","7","-8","-834","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-123","-4","-2","2","-6","0","-7","2","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4106","39","16","20","25","28","10"
"106.800","16.0649","14","-0.0095","-0.0303","0.1444","19.1525","-1.1763","124.4754","0.0072","0.1100","217.3635","43.36403089","-71.46108575","22.7","12.0","0","0.14","0.05","-1.11","-0.5","0.2","-0.8","0","0","0","0","0","0","0","0","0","0","0","1022","22","34","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","-0","225","-771","-129","-96","10","0","-9","2","509","60","-6","-60","0","29","-3","-12","8","-9","-784","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","0","-6","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4234","39","17","20","25","28","10"
"106.850","16.1263","14","-0.0082","-0.0246","0.1919","18.8099","-1.0121","124.4911","0.0072","0.1100","253.6002","43.36403279","-71.46108501","22.7","12.0","0","0.13","0.04","-1.10","0.1","-0.1","0.2","0","0","0","0","0","0","0","0","0","0","0","1021","22","33","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","249","-771","-128","-96","8","3","-9","2","509","59","-2","-59","0","29","-2","-12","8","-9","-765","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","0","-1","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4362","39","17","20","25","28","10"
"106.900","16.2054","14","-0.0066","-0.0191","0.2484","18.4374","-0.8248","124.5079","0.0072","0.1100","312.6983","43.36403469","-71.46108426","22.7","12.0","0","0.15","0.03","-1.10","0.6","-0.1","0.6","0","0","0","0","0","0","0","0","0","0","0","510","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","282","-782","-130","-96","1","6","-7","2","510","60","-4","-60","0","29","-1","-10","8","-8","-805","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-3","3","-4","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4490","39","18","20","25","28","10"
"106.950","16.2402","14","-0.0088","-0.0168","0.2125","18.5882","-1.0983","124.5258","0.0072","0.1146","235.3336","43.36403658","-71.46108346","22.7","12.0","0","0.16","0.08","-1.08","0.2","-0.0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","22","31","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","213","-765","-127","-96","-2","5","-3","1","511","61","-4","-60","0","29","-0","-9","6","-6","-795","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-3","8","-8","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4618","39","18","20","25","28","10"
"107.000","16.2712","14","-0.0113","-0.0149","0.1686","18.7846","-1.4119","124.5438","0.0072","0.1196","183.4165","43.36403847","-71.46108266","22.7","12.0","0","0.14","0.07","-1.06","0.5","-0.4","0.9","0","0","0","0","0","0","0","0","0","0","0","4","22","32","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","112","-738","-123","-96","1","-4","4","1","510","59","-3","-59","0","29","-0","-8","1","-3","-744","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","5","-4","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4746","39","19","20","25","28","10"
"107.050","16.2222","14","-0.0142","-0.0177","0.1252","18.6466","-1.7794","124.5544","0.0072","0.1200","145.0988","43.36404031","-71.46108191","22.7","12.0","0","0.11","-0.03","-1.11","0.1","-0.7","0.3","0","0","0","0","0","0","0","0","0","0","0","175","22","551","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","74","-719","-120","-94","3","-5","5","1","510","54","-2","-54","0","29","-0","-5","0","0","-754","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-0","2","-0","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4956","39","19","20","25","28","10"
"107.100","16.1663","14","-0.0171","-0.0209","0.0819","18.4796","-2.1515","124.5643","0.0071","0.1200","119.5864","43.36404214","-71.46108117","22.7","12.0","0","0.09","0.01","-1.09","-0.8","-0.1","-0.4","0","0","0","0","0","0","0","0","0","0","0","738","22","890","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","44","-704","-117","-93","5","-1","1","-0","511","43","1","-43","0","29","1","2","0","3","-784","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-174","3","-0","0","-7","0","504","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","6108","38","24","20","25","28","10"
"107.150","15.9223","14","-0.0159","-0.0292","0.1086","18.2933","-2.0034","124.5848","0.0071","0.1200","126.4878","43.36404394","-71.46108041","22.7","12.0","0","0.10","0.07","-1.08","-0.4","-0.4","0.2","0","0","0","0","0","0","0","0","0","0","0","736","22","364","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","44","-704","-117","-93","2","0","-0","-0","512","40","0","-40","0","29","1","3","0","1","-760","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-326","4","-0","0","-7","-0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7178","38","28","20","25","28","10"
"107.200","15.6618","14","-0.0144","-0.0379","0.1414","18.1054","-1.8101","124.6062","0.0071","0.1200","137.7084","43.36404574","-71.46107964","22.7","12.0","0","0.10","0.06","-1.08","0.1","-1.0","0.8","0","0","0","0","0","0","0","0","0","0","0","170","22","38","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","36","-711","-119","-93","-2","1","-0","0","511","43","-2","-43","0","29","0","-1","0","-1","-738","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-162","-4","-326","2","-0","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7306","39","29","20","25","28","10"
"107.250","15.7040","14","-0.0131","-0.0456","0.1434","18.2560","-1.6555","124.6108","0.0071","0.1200","150.9754","43.36404757","-71.46107888","22.7","12.0","0","0.10","0.04","-1.10","-0.1","-0.8","0.5","0","0","0","0","0","0","0","0","0","0","0","0","22","38","12","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","0","13","-731","-122","-92","-1","0","0","0","511","43","-3","-43","0","29","0","-1","0","-0","-750","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","1","-1","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7434","39","29","20","25","28","10"
"107.300","15.7725","14","-0.0118","-0.0532","0.1427","18.4362","-1.5042","124.6139","0.0071","0.1200","166.8805","43.36404940","-71.46107811","22.7","12.0","0","0.11","0.05","-1.09","-0.7","-0.2","-0.4","0","0","0","0","0","0","0","0","0","0","0","0","22","36","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","-0","38","-746","-124","-93","1","0","0","0","510","43","-2","-43","0","29","0","0","1","-1","-757","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","6","-5","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7562","39","30","20","25","28","10"
"107.350","15.6980","14","-0.0129","-0.0545","0.0455","18.0629","-1.6564","124.6169","0.0071","0.1200","150.8298","43.36405117","-71.46107737","22.7","12.0","0","0.11","0.04","-1.09","-0.2","-0.3","-0.4","0","0","0","0","0","0","0","0","0","0","0","0","22","34","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","-0","101","-756","-126","-93","4","-1","-2","1","510","50","-4","-50","0","29","-1","-4","4","-4","-756","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","8","-7","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7690","39","30","20","25","28","10"
"107.400","15.6111","14","-0.0142","-0.0553","-0.0601","17.6415","-1.8350","124.6200","0.0071","0.1200","135.3960","43.36405294","-71.46107662","22.7","12.0","0","0.12","0.02","-1.11","-0.0","-0.7","0.3","0","0","0","0","0","0","0","0","0","0","0","57","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","160","-758","-126","-94","7","-1","-5","1","510","55","-6","-55","0","29","-2","-8","3","-5","-761","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","4","-2","0","-7","1","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","7818","39","31","20","25","28","10"
"107.450","15.3950","15","-0.0142","-0.0504","0.0326","17.7122","-1.8403","124.6358","0.0071","0.1200","133.1429","43.36405466","-71.46107593","22.7","12.0","0","0.14","0.01","-1.12","-0.0","-0.9","0.9","0","0","0","0","0","0","0","0","0","0","0","625","22","25","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","218","-757","-126","-95","7","-1","-5","1","510","55","-6","-55","0","29","-2","-8","1","-5","-772","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","3","-3","0","-7","1","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","7660","39","30","20","25","28","10"
"107.500","15.1677","15","-0.0141","-0.0451","0.1426","17.8258","-1.8304","124.6526","0.0071","0.1200","131.8832","43.36405637","-71.46107525","22.7","12.0","0","0.14","0.04","-1.10","0.1","-0.3","0.2","0","0","0","0","0","0","0","0","0","0","0","853","22","28","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","211","-755","-126","-95","6","-0","-4","1","510","53","-5","-53","0","29","-1","-6","0","-3","-734","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","6","-7","0","-7","0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","4204","39","16","20","25","28","10"
"107.550","15.2764","15","-0.0104","-0.0413","0.1774","17.7248","-1.3547","124.6663","0.0071","0.1246","179.4734","43.36405817","-71.46107453","22.7","12.0","0","0.11","0.09","-1.08","0.0","-0.0","-0.4","0","0","0","0","0","0","0","0","0","0","0","286","22","31","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","211","-745","-124","-94","3","2","-2","0","510","47","-0","-47","0","29","2","-3","0","-0","-678","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","5","-5","0","-7","-0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","1034","39","4","20","25","28","10"
"107.600","15.4143","15","-0.0064","-0.0377","0.2056","17.6052","-0.8385","124.6797","0.0071","0.1296","292.5933","43.36405998","-71.46107380","22.7","12.0","0","0.08","0.07","-1.09","-0.2","-0.0","-0.2","0","0","0","0","0","0","0","0","0","0","0","2","22","32","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","262","-690","-115","-94","0","2","-1","0","510","42","1","-42","0","29","2","-1","0","1","-724","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","3","-0","0","-7","-0","505","81","2","145","4","-3","-101","-3","65","-3","0","0","0","0","0","0","1162","39","5","20","25","28","10"
"107.650","15.2724","15","-0.0041","-0.0390","0.1533","17.5913","-0.5340","124.6825","0.0071","0.1254","455.1451","43.36406176","-71.46107311","22.7","12.0","0","0.11","0.01","-1.09","-0.7","0.2","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","22","32","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","261","-670","-112","-94","-0","1","-1","0","511","39","-1","-39","0","29","1","-0","0","2","-762","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-327","2","-5","0","-7","-0","505","81","2","145","4","-3","-94","-3","65","-3","0","0","0","0","0","0","1311","39","5","20","25","28","10"
"107.700","15.1063","15","-0.0019","-0.0407","0.0939","17.5866","-0.2481","124.6845","0.0071","0.1204","969.2220","43.36406354","-71.46107243","22.7","12.0","0","0.12","0.00","-1.11","-0.6","-0.0","-0.3","0","0","0","0","0","0","0","0","0","0","0","397","22","32","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","167","-710","-118","-94","-0","-0","0","0","511","40","-2","-40","0","29","1","-0","0","0","-722","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-295","2","-7","0","-7","0","505","81","2","145","4","-3","-103","-3","65","-3","0","0","0","0","0","0","1695","39","7","20","25","28","10"
