0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,1.455
0.4,2.904
0.45,2.898
0.5,2.898
0.55,4.329
0.6,5.269
0.65,7.616
0.7,9.933
0.75,13.16
0.8,16.31
0.85,23.05
0.9,29.575
0.95,35.36
1,40.42
1.05,36.98
1.1,33.187
1.15,23.691
1.2,14.322
1.25,17.442
1.3,21.022
1.35,23.154
1.4,25.707
1.45,27.267
1.5,29.238
1.55,31.311
1.6,33.88
1.65,37.503
1.7,42.021
1.75,48.07
1.8,51.22
1.85,30.672
1.9,7.02
1.95,27.36
2,45.288
2.05,44.72
2.1,44.202
2.15,46.592
2.2,48.97
2.25,50.307
2.3,51.584
2.35,53.599
2.4,55.476
2.45,57.816
2.5,60.214
2.55,60.45
2.6,61.23
2.65,66.15
2.7,70.464
2.75,69.363
2.8,68.442
2.85,69.312
2.9,69.972
2.95,69.094
3,68.21
3.05,65.34
3.1,62.757
3.15,63.441
3.2,63.75
3.25,53.856
3.3,43.875
3.35,23.997
3.4,0
3.45,-0.944
3.5,-1.431
3.55,-1.431
3.6,-1.431
3.65,-1.434
3.7,-0.956
3.75,-0.956
3.8,-0.956
3.85,-0.958
3.9,-0.958
3.95,-0.958
4,-0.958
4.05,-0.479
4.1,-0.479
4.15,-0.479
4.2,-0.478
4.25,1.434
4.3,4.293
4.35,13.16
4.4,21.298
4.45,25.536
4.5,29.145
4.55,30.084
4.6,30.59
4.65,30.59
4.7,30.222
4.75,22.593
4.8,15.232
4.85,18.573
4.9,21.479
4.95,22.099
5,22.695
5.05,19.221
5.1,16.164
5.15,22.542
5.2,28.842
5.25,26.7
5.3,24.516
5.35,17.706
5.4,11.35
5.45,21.526
5.5,30.954
5.55,24.915
5.6,19.135
5.65,22.3
5.7,25.032
5.75,20.385
5.8,15.606
5.85,17.29
5.9,19.393
5.95,20.746
6,22.099
6.05,15.96
6.1,10.12
6.15,11.064
6.2,11.986
6.25,14.26
6.3,16.488
6.35,17.29
6.4,17.667
6.45,22.099
6.5,26.55
6.55,29.681
6.6,32.19
6.65,32.55
6.7,33.341
6.75,38.25
6.8,42.951
6.85,43.264
6.9,43.16
6.95,41.085
7,39.84
7.05,46.398
7.1,52.269
7.15,53.73
7.2,55.044
7.25,61.23
7.3,67.025
7.35,67.304
7.4,67.71
7.45,68.08
7.5,68.08
7.55,67.344
7.6,66.97
7.65,67.161
7.7,67.522
7.75,66.248
7.8,64.617
7.85,62.244
7.9,59.94
7.95,60.264
8,59.25
8.05,34.188
8.1,5.268
8.15,1.824
8.2,-1.888
8.25,-1.896
8.3,-1.425
8.35,-1.425
8.4,-1.425
8.45,-1.904
8.5,-1.904
8.55,-1.428
8.6,-1.428
8.65,-1.428
8.7,-1.428
8.75,-1.428
8.8,-1.431
8.85,-1.431
8.9,-1.431
8.95,-0.954
9,-0.954
9.05,-0.954
9.1,-0.954
9.15,-0.954
9.2,-0.477
9.25,-0.477
9.3,-0.478
9.35,-0.477
9.4,-0.954
9.45,-0.954
9.5,-0.954
9.55,-0.954
9.6,-0.954
9.65,-0.477
9.7,-0.478
9.75,-0.478
9.8,-0.478
9.85,-0.477
9.9,-0.477
9.95,0
10,0
10.05,0
10.1,0
10.15,-0.478
10.2,-0.478
10.25,-0.478
10.3,0
10.35,-0.478
10.4,-0.478
10.45,-0.478
10.5,-0.478
10.55,-0.478
10.6,-0.478
10.65,-0.478
10.7,0
10.75,0
10.8,0
10.85,0
10.9,0
10.95,0
11,0
11.05,2.39
11.1,5.258
11.15,7.536
11.2,10.208
11.25,11.064
11.3,11.45
11.35,9.723
11.4,8.406
11.45,7.488
11.5,7.05
11.55,10.296
11.6,13.048
11.65,13.89
11.7,14.72
11.75,17.29
11.8,19.844
11.85,26.314
11.9,33.075
11.95,37.84
12,42.84
12.05,46.398
12.1,49.504
12.15,33.374
12.2,19.152
12.25,39.788
12.3,60.152
12.35,59.041
12.4,57.72
12.45,62.868
12.5,67.694
12.55,71.004
12.6,73.8
12.65,69.906
12.7,64.356
12.75,29.36
12.8,-2.912
12.85,-1.672
12.9,-0.47
12.95,-0.944
13,-1.896
13.05,-1.422
13.1,-0.95
13.15,-0.95
13.2,-0.475
13.25,-0.475
13.3,-0.475
13.35,0
13.4,0
13.45,0
13.5,-0.475
13.55,0
13.6,0
13.65,0
13.7,0
13.75,0
13.8,0
13.85,0
13.9,0
13.95,0
14,0
14.05,0
14.1,0
14.15,0
14.2,0
14.25,0
14.3,-0.477
14.35,-0.477
14.4,0
14.45,4.76
14.5,9.52
14.55,10.741
14.6,11.908
14.65,20.7
14.7,28.73
14.75,26.019
14.8,23.267
14.85,27.094
14.9,30.885
14.95,30.885
15,30.814
15.05,32.832
15.1,34.83
15.15,38.16
15.2,41.062
15.25,37.856
15.3,35.518
15.35,43.45
15.4,50.407
15.45,48.5
15.5,46.728
15.55,50.165
15.6,53.19
15.65,53.312
15.7,53.43
15.75,55.484
15.8,57.514
15.85,59.748
15.9,61.019
15.95,54.684
16,46.99
16.05,25.016
16.1,-1.416
16.15,-1.416
16.2,-1.888
16.25,-1.416
16.3,-1.416
16.35,-0.944
16.4,-0.946
16.45,-0.473
16.5,0
16.55,0
16.6,-0.474
16.65,0
16.7,0
16.75,0
16.8,0
16.85,0
16.9,0
16.95,0
17,0
17.05,0
17.1,0
17.15,0
17.2,0
17.25,0
17.3,0
17.35,0
17.4,0
17.45,0
17.5,0
17.55,0
17.6,0
17.65,0
17.7,0
17.75,0
17.8,0
17.85,0
17.9,-0.476
17.95,0.476
